[2019-04-23 11:50:18,809] - log_print.py] - ERROR: ----------------返回结果失败----------------：第1个测试用例的接口请求超时响应,请注意!!, [ http://116.62.67.80:9050/baseVerify/faceAuthentication ]
[2019-04-23 11:51:16,318] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:51:16,318] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:51:16,358] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:51:16,483] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:51:16,486] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:51:16,487] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:51:16,509] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:51:16,510] - log_print.py] - INFO: ----------------开始调用接口----------------：http://116.62.67.80:9050/baseVerify/faceAuthentication
[2019-04-23 11:51:21,516] - log_print.py] - ERROR: ----------------返回结果失败----------------：第1个测试用例的接口请求超时响应,请注意!!, [ http://116.62.67.80:9050/baseVerify/faceAuthentication ]
[2019-04-23 11:52:18,108] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:52:18,108] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:52:18,147] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:52:18,276] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:52:18,280] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:52:18,282] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:52:18,303] - log_print.py] - INFO: ----------------开始执行测试用例----------------
